the_total_ 596
new_group 65
39762 37.2076 -93.2926
39763 37.2076 -93.2926
39760 37.2026 -93.2889
39764 37.1629 -93.2847
39765 37.1979 -93.2844
39720 41.9588 -87.6819
39721 41.9588 -87.6819
39767 41.9336 -87.6543
39683 33.2016 -87.5418
39681 33.2016 -87.5418
39684 33.2016 -87.5418
39685 33.2016 -87.5418
39682 33.2016 -87.5418
39686 36.1449 -86.7825
39676 33.9839 -84.4371
39678 33.7873 -84.388
39679 33.7873 -84.388
39677 33.7873 -84.388
39691 33.7868 -84.3848
39692 33.7868 -84.3848
39690 33.7868 -84.3848
39672 33.7584 -84.3807
39674 33.7584 -84.3807
39673 33.7584 -84.3807
39689 33.754 -84.3659
39700 33.7977 -84.3611
39697 33.7714 -84.3579
39687 33.7899 -84.3561
39669 33.9532 -84.3481
39694 33.7618 -84.3428
39695 33.7735 -84.3396
39693 34.0045 -84.3338
39688 33.7819 -84.3259
39696 33.7953 -84.302
39680 33.8442 -84.2495
39698 33.9067 -84.141
39766 43.6977 -79.3924
39732 42.1784 -76.9518
39733 42.1784 -76.9518
39734 42.1784 -76.9518
39670 40.3753 -74.9856
39702 40.7307 -74.0164
39701 40.7307 -74.0164
39703 40.7307 -74.0164
39671 40.8096 -73.9502
39699 42.3882 -71.3298
39485 42.3634 -71.0772
new_group 67
39505 22.086 -159.437
39534 47.6159 -122.333
39528 47.6338 -122.329
39537 47.7437 -122.284
39521 34.1571 -118.487
39538 34.0126 -118.383
39503 34.0718 -118.358
39499 34.0505 -118.338
39498 34.0505 -118.338
39500 34.0505 -118.338
39637 34.0692 -118.323
39504 34.0014 -118.312
39497 34.119 -118.302
39638 34.0789 -118.174
39640 34.0789 -118.174
39639 34.0789 -118.174
39641 33.6738 -117.901
39502 32.7345 -117.155
39501 32.5232 -117.014
39511 39.9512 -105.191
39509 39.7177 -105.12
39508 39.7177 -105.12
39510 39.7177 -105.12
39514 39.6207 -105.064
39513 39.6207 -105.064
39512 39.6207 -105.064
39517 39.6739 -105.012
39516 39.6719 -104.963
39507 39.72 -104.946
39515 39.7718 -104.936
39656 27.788 -97.3945
39655 27.788 -97.3945
39657 27.788 -97.3945
39661 32.7604 -97.0705
39662 32.7604 -97.0705
39660 32.7604 -97.0705
39663 32.7604 -97.0705
39533 37.1778 -93.2858
39652 41.9823 -91.662
39664 33.7847 -84.3894
39665 33.7847 -84.3894
39653 33.7862 -84.381
39651 34.0393 -84.3806
39650 33.7786 -84.3717
39648 33.7786 -84.3717
39649 33.7786 -84.3717
39666 33.846 -84.3661
39667 33.846 -84.3661
39668 33.9532 -84.3481
39659 33.7837 -84.3281
39658 33.7837 -84.3281
39654 33.7755 -84.2999
39647 33.7746 -84.297
39523 39.1198 -84.2592
39524 39.1198 -84.2592
39522 39.1198 -84.2592
39531 28.1531 -81.6819
39532 28.1531 -81.6819
39530 28.1531 -81.6819
39536 39.9512 -75.1661
39539 40.2974 -74.6148
39529 40.7307 -74.2781
39527 40.803 -74.192
39526 40.803 -74.192
39525 40.803 -74.192
39506 40.7676 -73.9789
39535 42.3016 -71.4028
new_group 67
39365 21.3396 -157.859
39366 29.3759 -98.4632
39375 30.2249 -97.808
39389 30.2581 -97.732
39382 30.2695 -97.7415
39376 30.2698 -97.749
